Breast,,
37892_at,COL11A1,76.69
205941_s_at,COL10A1,16.01
209773_s_at,RRM2,14.76
201890_at,RRM2,13.37
204825_at,MELK,12.94
213909_at,LRRC15,11.98
210559_s_at,CDC2,10.83
207828_s_at,CENPF,10.24
204092_s_at,STK6,10.16
219918_s_at,ASPM,10.01
210052_s_at,TPX2,9.70
203213_at,CDC2,9.63
202503_s_at,KIAA0101,9.27
217428_s_at,COL10A1,8.91
213797_at,RSAD2,8.53
212464_s_at,FN1,8.39
202705_at,CCNB2,8.38
204962_s_at,CENPA,8.20
205483_s_at,G1P2,8.05
202870_s_at,CDC20,8.01
216442_x_at,FN1,7.68
211719_x_at,FN1,7.63
205569_at,LAMP3,7.62
208079_s_at,STK6,7.50
210495_x_at,FN1,7.47
218355_at,KIF4A,7.46
218039_at,NUSAP1,7.29
218755_at,KIF20A,7.27
204641_at,NEK2,7.23
218585_s_at,DTL,7.22
212488_at,COL5A1,7.19
212021_s_at,MKI67,7.02
218542_at,C10orf3,6.99
205034_at,CCNE2,6.92
220874_at,---,6.86
214710_s_at,CCNB1,6.82
204822_at,TTK,6.74
212353_at,SULF1,6.61
209714_s_at,CDKN3,6.28
204170_s_at,CKS2,6.27
220335_x_at,FLJ21736,6.26
218883_s_at,MLF1IP,5.88
215978_x_at,LOC152719,5.79
203764_at,DLG7,5.78
209408_at,KIF2C,5.60
205046_at,CENPE,5.54
203362_s_at,MAD2L1,5.54
209642_at,BUB1,5.40
203325_s_at,COL5A1,5.40
209875_s_at,SPP1,5.40
218009_s_at,PRC1,5.33
204817_at,ESPL1,5.24
203214_x_at,CDC2,5.23
222077_s_at,RACGAP1,5.20
222087_at,---,5.20
206513_at,AIM2,5.11
204444_at,KIF11,5.09
213788_s_at,FLJ35348,5.07
219978_s_at,NUSAP1,5.04
203755_at,BUB1B,5.03
209969_s_at,STAT1,4.99
205733_at,BLM,4.92
204563_at,SELL,4.86
206364_at,KIF14,4.81
216834_at,RGS1,4.76
212020_s_at,MKI67,4.70
206102_at,PSF1,4.65
203554_x_at,PTTG1,4.62
204114_at,NID2,4.60
207165_at,HMMR,4.57
202404_s_at,COL1A2,4.54
212354_at,SULF1,4.49
211571_s_at,CSPG2,4.34
216702_x_at,ATP8A2,4.26
201261_x_at,BGN,4.23
219797_at,MGAT4A,4.23
207426_s_at,TNFSF4,4.21
204026_s_at,ZWINT,4.20
215604_x_at,UBE2D2,4.19
203358_s_at,EZH2,4.18
205248_at,C21orf5,4.16
204033_at,TRIP13,4.12
209709_s_at,HMMR,4.12
221729_at,COL5A2,4.10
202311_s_at,COL1A1,4.08
215179_x_at,PGF,4.06
206715_at,TFEC,4.04
222302_at,---,4.04
212022_s_at,MKI67,4.03
217591_at,SKIL,4.00
