Ovarian,,
202286_s_at,TACSTD2,83.08
209016_s_at,KRT7,65.94
208650_s_at,CD24,57.42
266_s_at,CD24,56.88
201839_s_at,TACSTD1,55.82
209771_x_at,CD24,44.45
216379_x_at,CD24,41.30
203953_s_at,CLDN3,36.48
203892_at,WFDC2,25.97
203453_at,SCNN1A,24.37
201131_s_at,CDH1,23.75
208998_at,UCP2,22.15
203213_at,CDC2,20.52
207924_x_at,PAX8,20.45
203021_at,SLPI,18.19
205980_s_at,ARHGAP8 /// LOC553158,17.45
218542_at,C10orf3,16.48
208651_x_at,CD24,16.20
209008_x_at,KRT8,15.66
219918_s_at,ASPM,15.50
207847_s_at,MUC1,15.39
201690_s_at,TPD52,14.15
201689_s_at,TPD52,13.96
219993_at,SOX17,13.95
200606_at,DSP,12.59
201596_x_at,KRT18,12.56
203397_s_at,GALNT3,12.54
201292_at,TOP2A,12.39
219787_s_at,ECT2,12.36
201291_s_at,TOP2A,12.19
204641_at,NEK2,12.19
41660_at,CELSR1,11.75
203358_s_at,EZH2,11.51
206102_at,PSF1,11.44
202546_at,VAMP8,11.28
221884_at,EVI1,10.67
209369_at,ANXA3,10.35
221665_s_at,EPS8L1,10.23
201890_at,RRM2,10.16
204822_at,TTK,9.81
202890_at,MAP7,9.53
203954_x_at,CLDN3,9.41
206074_s_at,HMGA1,9.13
217901_at,DSG2,8.88
209642_at,BUB1,8.66
219121_s_at,RBM35A,8.65
202207_at,ARL7,8.45
37117_at,ARHGAP8 /// LOC553158,8.30
202826_at,SPINT1,8.21
219648_at,DSU,7.97
204444_at,KIF11,7.93
217744_s_at,PERP,7.75
218663_at,HCAP-G,7.63
202454_s_at,ERBB3,7.61
203362_s_at,MAD2L1,7.60
205286_at,TFAP2C,7.59
204962_s_at,CENPA,7.54
218755_at,KIF20A,7.45
204170_s_at,CKS2,7.37
222077_s_at,RACGAP1,7.34
202936_s_at,SOX9,7.09
201688_s_at,TPD52,6.98
202503_s_at,KIAA0101,6.97
206364_at,KIF14,6.95
203347_s_at,MTF2,6.94
205668_at,LY75,6.91
201663_s_at,SMC4L1,6.90
203917_at,CXADR,6.89
207165_at,HMMR,6.83
213856_at,CD47,6.80
210150_s_at,LAMA5,6.77
218662_s_at,HCAP-G,6.69
210052_s_at,TPX2,6.68
219148_at,PBK,6.67
216905_s_at,ST14,6.56
201005_at,CD9,6.53
201510_at,ELF3,6.39
213857_s_at,CD47,6.25
202790_at,CLDN7,6.10
214697_s_at,ROD1,6.07
210046_s_at,IDH2,5.98
203593_at,CD2AP,5.89
210115_at,RPL39L,5.77
218585_s_at,DTL,5.76
203764_at,DLG7,5.72
207828_s_at,CENPF,5.70
218237_s_at,SLC38A1,5.61
218782_s_at,ATAD2,5.58
219306_at,KIF15,5.53
210512_s_at,VEGF,5.50
212023_s_at,MKI67,5.48
221436_s_at,CDCA3,5.42
218349_s_at,ZWILCH,5.41
213618_at,CENTD1,5.37
218701_at,LACTB2,5.29
210559_s_at,CDC2,5.29
207923_x_at,PAX8,5.28
219388_at,GRHL2,5.20
218883_s_at,MLF1IP,5.19
210942_s_at,ST3GAL6,5.17
219073_s_at,OSBPL10,5.15
220668_s_at,DNMT3B,5.13
208051_s_at,PAIP1,5.13
203755_at,BUB1B,5.08
204026_s_at,ZWINT,5.08
200635_s_at,PTPRF,5.07
212314_at,KIAA0746,5.04
208190_s_at,LISCH7,5.01
209064_x_at,PAIP1,4.99
204485_s_at,TOM1L1,4.97
200660_at,S100A11,4.95
204825_at,MELK,4.94
218009_s_at,PRC1,4.86
218856_at,TNFRSF21,4.86
218102_at,DERA,4.77
222036_s_at,MCM4,4.76
222039_at,LOC146909,4.65
202720_at,TES,4.57
211075_s_at,CD47,4.56
201297_s_at,MOBK1B,4.55
201664_at,SMC4L1,4.50
204160_s_at,ENPP4,4.48
36499_at,CELSR2,4.46
202872_at,ATP6V1C1,4.46
202705_at,CCNB2,4.46
205173_x_at,CD58,4.45
218039_at,NUSAP1,4.39
204675_at,SRD5A1,4.36
202903_at,LSM5,4.34
203739_at,ZNF217,4.27
213285_at,TMEM30B,4.25
218319_at,PELI1,4.23
211864_s_at,FER1L3,4.22
202647_s_at,NRAS,4.22
201015_s_at,JUP,4.21
221869_at,GM632,4.20
204244_s_at,ASK,4.18
203216_s_at,MYO6,4.17
218549_s_at,FAM82B,4.17
218643_s_at,CRIPT,4.17
218451_at,CDCP1,4.17
211778_s_at,OVOL2,4.13
218073_s_at,TMEM48,4.10
208296_x_at,TNFAIP8,4.06
212070_at,GPR56,4.05
219002_at,FLJ21901,4.05
213085_s_at,KIBRA,4.04
214710_s_at,CCNB1,4.02
201798_s_at,FER1L3,4.02
