Thyroid,,
204124_at,SLC34A2,22.30
207144_s_at,CITED1,16.68
37004_at,SFTPB,14.51
211429_s_at,SERPINA1,13.96
203717_at,DPP4,10.75
212464_s_at,FN1,9.86
203354_s_at,PSD3,9.69
211478_s_at,DPP4,8.49
211719_x_at,FN1,8.38
204105_s_at,NRCAM,8.15
208025_s_at,HMGA2,7.83
210495_x_at,FN1,7.47
211343_s_at,COL13A1,7.37
216442_x_at,FN1,7.36
205174_s_at,QPCT,6.97
213872_at,C6orf62,6.30
207691_x_at,ENTPD1,6.11
205372_at,PLAG1,5.72
203854_at,IF,5.67
213241_at,PLXNC1,5.48
202404_s_at,COL1A2,4.87
209270_at,LAMB3,4.80
204446_s_at,ALOX5,4.77
217787_s_at,GALNT2,4.75
206765_at,KCNJ2,4.74
222108_at,AMIGO2,4.65
204702_s_at,NFE2L3,4.64
221911_at,ETV1,4.62
218313_s_at,GALNT7,4.58
218613_at,PSD3,4.49
212992_at,C14orf78,4.45
205088_at,CXorf6,4.31
203355_s_at,PSD3,4.28
212611_at,DTX4,4.06
215252_at,DNAJC7,4.04
